Onset,Offset
432.8,432.834
432.967,433.067
434.034,434.067
435.934,435.967
436.067,436.134
436.367,436.4
436.667,436.7
437.067,437.1
437.534,437.6
437.834,437.9
438.0,438.034
438.134,438.167
438.567,438.6
438.7,438.734
439.067,439.1
439.4,439.434
439.867,439.9
440.334,440.367
441.334,441.367
442.834,442.934
443.1,443.4
444.434,444.467
444.967,445.0
445.267,445.3
445.534,445.6
447.6,447.634
448.467,448.5
448.7,448.734
449.0,449.134
451.0,451.034
452.634,452.667
452.834,452.967
453.667,453.7
454.234,454.267
454.967,455.0
455.667,455.7
455.767,455.8
456.234,456.267
456.867,456.9
457.4,457.434
458.167,458.2
459.634,459.667
460.0,460.034
460.134,460.167
460.867,460.934
461.867,461.9
462.667,462.8
463.367,463.734
463.934,464.067
464.367,464.4
466.034,466.067
467.234,467.267
468.367,468.4
468.567,468.634
469.067,469.1
469.234,469.3
472.3,472.334
472.6,472.634
474.167,474.334
475.2,475.234
476.0,476.034
476.2,476.334
478.4,478.467
478.834,479.034
479.167,479.2
479.5,479.534
480.267,480.3
480.7,480.734
480.867,481.0
482.267,482.3
482.8,482.834
483.334,483.4
484.1,484.134
484.3,484.334
485.067,485.1
485.2,485.267
487.134,487.167
487.634,487.667
487.9,488.034
488.1,488.167
488.267,488.3
489.0,489.034
489.467,489.5
489.634,489.734
489.8,489.9
489.967,490.0
490.234,490.267
490.767,490.8
492.6,492.767
493.067,493.167
493.334,493.5
493.567,493.6
494.0,494.3
495.0,495.1
495.234,495.267
498.2,498.267
498.767,498.8
499.767,499.834
502.434,502.5
502.634,502.667
502.8,502.834
502.934,503.1
503.467,503.5
505.134,505.2
506.467,506.5
507.034,507.067
507.234,507.3
507.934,508.2
508.434,508.5
510.034,510.067
510.767,510.834
511.334,511.434
511.534,511.567
512.0,512.067
512.167,512.234
512.334,512.5
513.0,513.034
513.667,513.767
516.7,516.734
516.8,516.834
516.9,517.034
517.1,517.134
517.767,518.367
518.8,518.9
519.1,519.167
519.3,519.334
519.467,519.534
519.667,519.7
520.034,520.467
520.7,520.734
521.1,521.234
521.4,521.434
521.634,521.7
521.9,521.967
522.367,522.4
523.067,523.167
523.534,523.567
523.734,523.867
524.867,524.9
525.067,525.1
525.967,526.1
526.8,526.834
527.034,527.134
527.4,527.5
528.467,528.534
528.634,529.2
529.367,529.667
529.867,529.934
530.8,530.934
531.034,531.067
531.534,531.6
531.767,531.8
531.934,532.0
532.134,532.434
532.5,533.134
534.067,534.134
534.667,534.867
535.567,535.634
536.334,536.367
536.834,537.134
537.2,537.267
537.4,537.434
537.5,537.8
538.134,538.167
538.334,538.434
538.567,538.6
539.267,539.3
539.467,539.5
540.067,540.167
540.334,540.434
542.3,542.334
542.8,542.867
544.7,544.867
545.0,545.1
545.234,545.267
545.467,545.7
545.8,545.967
546.067,546.1
546.7,546.8
546.9,547.3
547.4,547.6
547.734,548.067
549.167,549.2
550.267,550.367
551.034,551.2
551.834,551.934
552.334,552.367
552.434,552.634
552.734,552.8
552.934,553.0
553.167,553.267
553.367,553.467
553.567,553.6
553.667,553.734
553.967,554.1
554.234,554.334
555.2,555.234
555.634,555.767
555.867,555.9
556.1,556.167
556.267,556.467
556.6,556.667
556.767,556.867
557.267,557.3
557.567,557.667
557.767,557.8
558.1,558.134
558.334,558.467
558.534,558.7
558.767,558.967
559.067,559.1
559.6,559.634
559.834,559.9
560.734,560.8
561.367,561.5
561.667,561.767
561.9,561.934
562.034,562.4
562.5,562.934
563.034,563.1
563.4,563.467
563.534,563.867
564.0,564.034
564.2,564.3
564.434,564.7
564.9,565.2
565.3,565.334
566.1,566.234
566.5,566.534
566.734,566.867
567.167,567.334
567.467,567.7
567.934,568.067
568.167,568.2
568.334,568.434
568.734,568.9
569.0,569.234
570.167,570.267
570.434,570.5
570.634,570.734
570.8,570.867
570.934,571.1
571.467,571.567
571.7,571.834
572.267,572.367
572.467,572.5
573.1,573.167
573.934,573.967
574.367,574.4
574.634,574.8
575.034,575.334
575.4,575.6
575.767,575.867
576.167,576.2
576.767,576.834
579.0,579.034
579.234,579.434
579.6,579.634
580.2,580.234
580.3,580.5
581.7,581.8
581.934,581.967
582.034,582.1
583.367,583.4
583.467,583.534
583.967,584.0
584.267,584.467
584.567,584.834
584.934,585.134
585.234,585.367
585.534,585.6
586.2,586.234
586.634,586.667
587.067,587.134
587.234,587.3
587.5,587.534
587.7,587.767
587.934,587.967
588.867,588.934
589.467,589.634
589.967,590.0
590.2,590.267
590.367,590.434
590.6,590.967
591.034,591.067
591.5,591.534
593.1,593.134
593.434,593.567
593.667,593.734
