record started at: 07-05-18 04:47:25

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 1280x720
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
43 43 29.99 0:00:00:01.434/1000 0:00:00:01.400/1000 849.31 79.45 235.36 153.33 -1000.00 -1000.00 66.00 60.00 
44 44 29.99 0:00:00:01.467/1000 0:00:00:01.434/1000 821.58 52.23 244.89 150.83 -1000.00 -1000.00 66.00 53.00 
45 44 30.00 0:00:00:01.500/1000 0:00:00:01.467/1000 795.78 26.25 253.03 148.51 -1000.00 -1000.00 66.00 52.00 
46 46 29.99 0:00:00:01.534/1000 0:00:00:01.500/1000 776.60 3.43 258.59 145.93 -1000.00 -1000.00 61.00 42.00 
47 47 29.99 0:00:00:01.567/1000 0:00:00:01.534/1000 762.10 -16.04 262.54 143.47 -1000.00 -1000.00 62.00 44.00 
48 47 30.00 0:00:00:01.600/1000 0:00:00:01.567/1000 754.42 -20.90 264.70 143.66 -1000.00 -1000.00 65.00 52.00 
49 49 29.99 0:00:00:01.634/1000 0:00:00:01.600/1000 751.57 -24.02 265.47 143.39 -1000.00 -1000.00 63.00 45.00 
50 50 29.99 0:00:00:01.667/1000 0:00:00:01.634/1000 750.15 -30.72 265.72 141.88 -1000.00 -1000.00 63.00 46.00 
51 50 30.00 0:00:00:01.700/1000 0:00:00:01.667/1000 747.93 -34.07 266.28 141.42 -1000.00 -1000.00 62.00 45.00 
52 52 29.99 0:00:00:01.734/1000 0:00:00:01.700/1000 742.72 -35.11 267.75 142.16 -1000.00 -1000.00 62.00 44.00 
53 53 29.99 0:00:00:01.767/1000 0:00:00:01.734/1000 734.63 -36.40 270.00 143.37 -1000.00 -1000.00 61.00 43.00 
54 53 30.00 0:00:00:01.800/1000 0:00:00:01.767/1000 781.70 -3.34 256.76 143.04 -1000.00 -1000.00 63.00 53.00 
55 55 29.99 0:00:00:01.834/1000 0:00:00:01.800/1000 830.49 29.57 240.69 142.22 -1000.00 -1000.00 66.00 55.00 
56 56 29.99 0:00:00:01.867/1000 0:00:00:01.834/1000 832.95 33.34 239.89 142.82 -1000.00 -1000.00 66.00 58.00 
57 56 30.00 0:00:00:01.900/1000 0:00:00:01.867/1000 830.17 34.17 241.00 143.68 -1000.00 -1000.00 67.00 57.00 
58 58 29.99 0:00:00:01.934/1000 0:00:00:01.900/1000 829.25 33.34 241.32 143.63 -1000.00 -1000.00 65.00 55.00 
59 59 29.99 0:00:00:01.967/1000 0:00:00:01.934/1000 828.77 31.72 241.44 143.25 -1000.00 -1000.00 64.00 56.00 
60 59 30.00 0:00:00:02.00/1000 0:00:00:01.967/1000 827.66 29.91 241.79 142.95 -1000.00 -1000.00 64.00 55.00 
61 61 29.99 0:00:00:02.34/1000 0:00:00:02.00/1000 826.76 27.55 242.04 142.43 -1000.00 -1000.00 64.00 55.00 
62 62 30.00 0:00:00:02.67/1000 0:00:00:02.34/1000 825.41 24.58 242.43 141.84 -1000.00 -1000.00 64.00 55.00 
63 62 30.00 0:00:00:02.100/1000 0:00:00:02.67/1000 824.32 22.64 242.77 141.50 -1000.00 -1000.00 64.00 56.00 
64 64 29.99 0:00:00:02.134/1000 0:00:00:02.100/1000 824.74 23.72 242.65 141.73 -1000.00 -1000.00 64.00 54.00 
65 65 30.00 0:00:00:02.167/1000 0:00:00:02.134/1000 825.21 25.35 242.54 142.11 -1000.00 -1000.00 64.00 53.00 
