record started at: 08-16-18 11:07:00

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
43 43 29.99 0:00:00:01.434/1000 0:00:00:01.400/1000 242.76 122.18 432.79 287.12 -1000.00 -1000.00 37.00 52.00 
44 44 29.99 0:00:00:01.467/1000 0:00:00:01.434/1000 247.54 118.70 431.45 285.83 -1000.00 -1000.00 40.00 58.00 
45 44 30.00 0:00:00:01.500/1000 0:00:00:01.467/1000 253.04 113.66 429.98 283.97 -1000.00 -1000.00 39.00 63.00 
46 46 29.99 0:00:00:01.534/1000 0:00:00:01.500/1000 258.24 110.92 428.41 282.90 -1000.00 -1000.00 41.00 59.00 
47 47 29.99 0:00:00:01.567/1000 0:00:00:01.534/1000 262.51 109.96 426.99 282.46 -1000.00 -1000.00 41.00 57.00 
48 47 30.00 0:00:00:01.600/1000 0:00:00:01.567/1000 268.15 108.26 425.16 281.72 -1000.00 -1000.00 41.00 54.00 
49 49 29.99 0:00:00:01.634/1000 0:00:00:01.600/1000 273.46 106.47 423.43 280.96 -1000.00 -1000.00 41.00 56.00 
50 50 29.99 0:00:00:01.667/1000 0:00:00:01.634/1000 277.68 104.52 422.10 280.17 -1000.00 -1000.00 42.00 62.00 
51 50 30.00 0:00:00:01.700/1000 0:00:00:01.667/1000 281.14 104.13 420.90 279.94 -1000.00 -1000.00 41.00 54.00 
52 52 29.99 0:00:00:01.734/1000 0:00:00:01.700/1000 284.21 103.25 419.88 279.54 -1000.00 -1000.00 44.00 60.00 
53 53 29.99 0:00:00:01.767/1000 0:00:00:01.734/1000 288.09 100.37 418.73 278.43 -1000.00 -1000.00 44.00 55.00 
54 53 30.00 0:00:00:01.800/1000 0:00:00:01.767/1000 292.42 98.32 417.35 277.58 -1000.00 -1000.00 45.00 59.00 
55 55 29.99 0:00:00:01.834/1000 0:00:00:01.800/1000 298.36 95.81 415.41 276.53 -1000.00 -1000.00 46.00 58.00 
56 56 29.99 0:00:00:01.867/1000 0:00:00:01.834/1000 306.65 91.32 412.77 274.69 -1000.00 -1000.00 44.00 60.00 
57 56 30.00 0:00:00:01.900/1000 0:00:00:01.867/1000 280.67 108.03 420.73 281.30 -1000.00 -1000.00 38.00 59.00 
58 58 29.99 0:00:00:01.934/1000 0:00:00:01.900/1000 221.42 158.47 436.86 299.65 -1000.00 -1000.00 33.00 54.00 
59 59 29.99 0:00:00:01.967/1000 0:00:00:01.934/1000 191.77 193.46 443.60 311.41 -1000.00 -1000.00 33.00 54.00 
60 59 30.00 0:00:00:02.00/1000 0:00:00:01.967/1000 193.39 194.44 442.99 311.70 -1000.00 -1000.00 34.00 56.00 
61 61 29.99 0:00:00:02.34/1000 0:00:00:02.00/1000 199.70 189.26 441.37 309.96 -1000.00 -1000.00 34.00 53.00 
62 62 30.00 0:00:00:02.67/1000 0:00:00:02.34/1000 205.61 184.87 439.81 308.47 -1000.00 -1000.00 36.00 56.00 
63 62 30.00 0:00:00:02.100/1000 0:00:00:02.67/1000 209.02 182.72 438.87 307.73 -1000.00 -1000.00 36.00 56.00 
64 64 29.99 0:00:00:02.134/1000 0:00:00:02.100/1000 210.19 182.09 438.54 307.51 -1000.00 -1000.00 37.00 57.00 
65 65 30.00 0:00:00:02.167/1000 0:00:00:02.134/1000 197.14 197.39 441.50 312.58 -1000.00 -1000.00 33.00 49.00 
66 65 30.00 0:00:00:02.200/1000 0:00:00:02.167/1000 185.16 211.81 444.14 317.28 -1000.00 -1000.00 35.00 53.00 
67 67 29.99 0:00:00:02.234/1000 0:00:00:02.200/1000 187.19 209.71 443.67 316.59 -1000.00 -1000.00 35.00 53.00 
68 68 30.00 0:00:00:02.267/1000 0:00:00:02.234/1000 188.83 208.07 443.28 316.06 -1000.00 -1000.00 36.00 54.00 
69 68 30.00 0:00:00:02.300/1000 0:00:00:02.267/1000 190.97 206.21 442.75 315.45 -1000.00 -1000.00 34.00 54.00 
70 70 29.99 0:00:00:02.334/1000 0:00:00:02.300/1000 192.90 204.56 442.26 314.91 -1000.00 -1000.00 35.00 54.00 
71 71 30.00 0:00:00:02.367/1000 0:00:00:02.334/1000 193.98 203.24 442.03 314.48 -1000.00 -1000.00 35.00 53.00 
72 71 30.00 0:00:00:02.400/1000 0:00:00:02.367/1000 210.88 198.68 436.87 312.82 -1000.00 -1000.00 39.00 51.00 
73 73 29.99 0:00:00:02.434/1000 0:00:00:02.400/1000 226.29 193.68 432.16 311.02 -1000.00 -1000.00 39.00 55.00 
74 74 30.00 0:00:00:02.467/1000 0:00:00:02.434/1000 224.78 193.06 432.72 310.84 -1000.00 -1000.00 37.00 51.00 
75 74 30.00 0:00:00:02.500/1000 0:00:00:02.467/1000 224.24 193.26 432.88 310.91 -1000.00 -1000.00 37.00 51.00 
76 76 29.99 0:00:00:02.534/1000 0:00:00:02.500/1000 224.60 192.78 432.80 310.75 -1000.00 -1000.00 38.00 54.00 
77 77 30.00 0:00:00:02.567/1000 0:00:00:02.534/1000 224.36 192.72 432.89 310.73 -1000.00 -1000.00 37.00 53.00 
78 77 30.00 0:00:00:02.600/1000 0:00:00:02.567/1000 223.18 193.04 433.25 310.85 -1000.00 -1000.00 38.00 52.00 
79 79 29.99 0:00:00:02.634/1000 0:00:00:02.600/1000 221.83 192.78 433.73 310.79 -1000.00 -1000.00 37.00 52.00 
80 80 30.00 0:00:00:02.667/1000 0:00:00:02.634/1000 220.82 191.90 434.14 310.52 -1000.00 -1000.00 37.00 53.00 
81 80 30.00 0:00:00:02.700/1000 0:00:00:02.667/1000 220.16 191.87 434.37 310.52 -1000.00 -1000.00 37.00 52.00 
82 82 29.99 0:00:00:02.734/1000 0:00:00:02.700/1000 203.50 207.28 438.56 315.65 -1000.00 -1000.00 33.00 46.00 
83 83 30.00 0:00:00:02.767/1000 0:00:00:02.734/1000 188.57 220.72 442.27 320.03 -1000.00 -1000.00 33.00 46.00 
84 83 30.00 0:00:00:02.800/1000 0:00:00:02.767/1000 190.06 218.00 442.02 319.17 -1000.00 -1000.00 32.00 45.00 
85 85 29.99 0:00:00:02.834/1000 0:00:00:02.800/1000 189.92 216.73 442.17 318.77 -1000.00 -1000.00 31.00 43.00 
86 86 30.00 0:00:00:02.867/1000 0:00:00:02.834/1000 189.90 216.11 442.23 318.58 -1000.00 -1000.00 32.00 45.00 
87 86 30.00 0:00:00:02.900/1000 0:00:00:02.867/1000 190.30 215.20 442.18 318.28 -1000.00 -1000.00 33.00 46.00 
88 88 29.99 0:00:00:02.934/1000 0:00:00:02.900/1000 190.76 214.26 442.11 317.99 -1000.00 -1000.00 33.00 48.00 
89 89 30.00 0:00:00:02.967/1000 0:00:00:02.934/1000 190.93 213.58 442.12 317.77 -1000.00 -1000.00 33.00 49.00 
90 89 30.00 0:00:00:03.00/1000 0:00:00:02.967/1000 190.91 212.52 442.22 317.44 -1000.00 -1000.00 34.00 49.00 
91 91 29.99 0:00:00:03.34/1000 0:00:00:03.00/1000 190.75 212.02 442.31 317.28 -1000.00 -1000.00 34.00 49.00 
92 92 30.00 0:00:00:03.67/1000 0:00:00:03.34/1000 190.44 212.23 442.39 317.35 -1000.00 -1000.00 34.00 48.00 
93 92 30.00 0:00:00:03.100/1000 0:00:00:03.67/1000 190.29 212.22 442.44 317.35 -1000.00 -1000.00 34.00 49.00 
94 94 29.99 0:00:00:03.134/1000 0:00:00:03.100/1000 190.54 211.69 442.41 317.18 -1000.00 -1000.00 34.00 49.00 
95 95 30.00 0:00:00:03.167/1000 0:00:00:03.134/1000 190.42 211.52 442.46 317.13 -1000.00 -1000.00 34.00 48.00 
96 95 30.00 0:00:00:03.200/1000 0:00:00:03.167/1000 189.76 211.56 442.68 317.15 -1000.00 -1000.00 34.00 48.00 
97 97 29.99 0:00:00:03.234/1000 0:00:00:03.200/1000 189.18 212.14 442.81 317.34 -1000.00 -1000.00 35.00 47.00 
98 98 30.00 0:00:00:03.267/1000 0:00:00:03.234/1000 220.91 193.90 433.94 311.16 -1000.00 -1000.00 43.00 51.00 
99 98 30.00 0:00:00:03.300/1000 0:00:00:03.267/1000 248.31 175.21 426.26 304.67 -1000.00 -1000.00 42.00 52.00 
100 100 29.99 0:00:00:03.334/1000 0:00:00:03.300/1000 242.36 177.96 428.07 305.67 -1000.00 -1000.00 40.00 49.00 
101 101 30.00 0:00:00:03.367/1000 0:00:00:03.334/1000 240.61 182.65 428.26 307.23 -1000.00 -1000.00 39.00 50.00 
102 101 30.00 0:00:00:03.400/1000 0:00:00:03.367/1000 1452.96 -705.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
103 103 29.99 0:00:00:03.434/1000 0:00:00:03.400/1000 1452.96 -705.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
104 104 30.00 0:00:00:03.467/1000 0:00:00:03.434/1000 1452.96 -705.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
105 104 30.00 0:00:00:03.500/1000 0:00:00:03.467/1000 359.72 121.83 390.32 283.98 -1000.00 -1000.00 36.00 47.00 
106 106 29.99 0:00:00:03.534/1000 0:00:00:03.500/1000 455.80 68.64 355.75 261.01 -1000.00 -1000.00 58.00 51.00 
107 107 30.00 0:00:00:03.567/1000 0:00:00:03.534/1000 441.88 70.00 361.51 262.09 -1000.00 -1000.00 55.00 56.00 
108 107 30.00 0:00:00:03.600/1000 0:00:00:03.567/1000 427.65 70.74 367.37 262.93 -1000.00 -1000.00 57.00 60.00 
